County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Sandusky,Ohio,US,41.35624126,-83.137872,"Sandusky, Ohio, US",5,5,5,5,7,7,10,11,12,13,13,14,16,17,18,17,17,17,20,20,20,20,19,19,23,27,28,32,34,36,41
Scioto,Ohio,US,38.80270163,-82.98907345,"Scioto, Ohio, US",0,1,1,1,2,3,4,4,4,4,4,5,5,7,9,6,6,6,6,6,6,6,6,6,8,10,11,11,12,12,13
Seneca,Ohio,US,41.12351311,-83.12783209,"Seneca, Ohio, US",6,6,6,6,7,8,8,9,9,10,11,11,11,11,12,13,11,11,11,12,12,13,14,14,14,14,14,14,14,14,14
Shelby,Ohio,US,40.33163494,-84.20258189,"Shelby, Ohio, US",12,17,18,19,21,24,25,27,27,27,27,28,28,28,29,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Stark,Ohio,US,40.81482476,-81.36437305,"Stark, Ohio, US",95,109,110,114,120,125,133,154,167,171,176,204,210,221,224,237,251,266,290,294,303,310,312,324,333,347,363,379,398,405,414
Summit,Ohio,US,41.12464734,-81.53123079,"Summit, Ohio, US",184,189,199,211,221,235,243,257,262,273,294,310,323,340,350,370,385,415,447,460,475,485,500,542,584,608,639,679,701,716,751
Trumbull,Ohio,US,41.31735028,-80.76109643,"Trumbull, Ohio, US",89,102,110,126,132,149,155,168,174,187,199,203,213,231,237,249,257,261,272,278,287,293,295,299,305,308,318,324,331,347,356
Tuscarawas,Ohio,US,40.44214695,-81.47226262,"Tuscarawas, Ohio, US",20,23,23,26,26,26,26,27,28,28,28,29,31,31,31,32,34,38,42,42,48,50,57,59,60,74,94,109,118,126,133
Union,Ohio,US,40.30016061,-83.37239023,"Union, Ohio, US",8,8,8,8,9,10,10,10,11,11,11,11,12,12,12,13,16,16,16,17,18,18,18,18,19,22,22,22,24,25,26
Van Wert,Ohio,US,40.8554138,-84.59111700000000,"Van Wert, Ohio, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Vinton,Ohio,US,39.25208988,-82.4831444,"Vinton, Ohio, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,6,6,6,8
Warren,Ohio,US,39.42581994,-84.16557457,"Warren, Ohio, US",36,37,45,46,53,72,74,75,76,78,85,89,93,112,112,116,117,118,124,128,131,133,124,131,134,146,160,166,168,172,178
Washington,Ohio,US,39.45690571,-81.49121382,"Washington, Ohio, US",8,15,27,30,34,35,36,39,41,44,47,53,55,57,65,65,69,73,75,80,93,94,94,95,95,98,99,100,102,103,105
Wayne,Ohio,US,40.82925852,-81.88844833,"Wayne, Ohio, US",26,26,29,30,30,37,40,50,54,54,56,66,72,77,79,81,82,85,88,91,100,104,114,119,125,128,143,149,153,161,166
Williams,Ohio,US,41.56052014,-84.58429552,"Williams, Ohio, US",1,1,1,1,1,2,3,3,3,3,6,6,6,7,8,8,8,16,23,28,27,29,29,31,33,34,36,36,36,41,42
Wood,Ohio,US,41.36224827,-83.62285108,"Wood, Ohio, US",29,34,38,41,42,49,52,54,54,61,64,67,73,80,84,84,92,98,105,122,132,133,139,145,154,164,174,183,187,193,203
Wyandot,Ohio,US,40.84339621,-83.30734173,"Wyandot, Ohio, US",5,5,5,5,8,9,10,11,12,13,14,14,16,17,17,17,20,21,21,24,24,24,24,24,25,24,24,24,24,24,24
Totals,,,,,,4043,4453,4782,5148,5512,5878,6250,6602,6975,7285,7794,8414,9107,10222,11602,12919,13725,14117,14694,15169,15587,15972,16325,16769,17303,18027,18743,19335,19914,20474,20969
