County,State,Country,Latitude,Longitude,Location,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20
Pike,Indiana,US,38.40112197,-87.23574907,"Pike, Indiana, US",0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Porter,Indiana,US,41.45986947,-87.06848888,"Porter, Indiana, US",59,79,84,85,93,95,107,118,120,127,135,143,155,168,175,180,183,193,198,204,210,212,215,228,232,238,240,250,252,258,266
Posey,Indiana,US,38.02097333,-87.86480429,"Posey, Indiana, US",5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,9,9,9,9,9,11,12,12,12,13,14
Pulaski,Indiana,US,41.04166107,-86.69890683,"Pulaski, Indiana, US",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,9,13,18,21,23,23,25,26,29,29,29
Putnam,Indiana,US,39.66437981,-86.84517605,"Putnam, Indiana, US",17,21,25,27,30,31,32,32,33,38,42,43,47,50,51,51,53,53,54,56,58,58,58,59,63,66,71,71,76,78,80
Randolph,Indiana,US,40.15734772,-85.01139319,"Randolph, Indiana, US",5,5,7,7,7,8,8,10,11,11,11,10,10,12,12,12,12,12,14,13,14,14,14,15,15,15,15,15,16,16,17
Ripley,Indiana,US,39.10235626,-85.26212744,"Ripley, Indiana, US",60,70,76,76,77,79,81,84,86,89,88,89,77,80,82,82,83,86,87,87,89,89,90,91,92,92,93,94,94,97,98
Rush,Indiana,US,39.62002287,-85.4655599,"Rush, Indiana, US",10,12,14,14,14,12,13,15,17,16,17,17,20,19,19,21,22,21,21,26,28,29,30,31,31,31,32,33,34,35,36
St. Joseph,Indiana,US,41.61756781,-86.29040834,"St. Joseph, Indiana, US",102,112,129,142,150,165,186,192,194,234,273,306,358,388,402,412,442,454,475,515,553,576,586,602,620,633,642,645,658,668,687
Scott,Indiana,US,38.68672078,-85.74627859,"Scott, Indiana, US",8,8,8,11,12,12,14,17,17,17,17,19,20,22,24,24,25,27,28,33,36,37,38,39,41,46,47,51,52,52,54
Shelby,Indiana,US,39.52305623,-85.79158570000000,"Shelby, Indiana, US",37,45,51,56,61,63,68,71,75,77,79,86,97,99,105,111,120,125,145,154,176,180,184,191,194,201,213,218,222,224,229
Spencer,Indiana,US,38.01519732,-87.0079644,"Spencer, Indiana, US",1,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Starke,Indiana,US,41.27890281,-86.64686895,"Starke, Indiana, US",3,4,5,6,6,8,8,9,9,10,10,10,10,11,11,11,11,11,13,13,13,15,15,15,16,16,16,16,17,17,17
Steuben,Indiana,US,41.64423868,-85.00101094,"Steuben, Indiana, US",6,8,9,10,12,12,12,12,12,12,13,14,16,17,17,17,17,18,18,20,21,21,21,21,22,23,25,26,26,41,51
Sullivan,Indiana,US,39.08952258,-87.41414469,"Sullivan, Indiana, US",3,3,3,4,4,4,5,6,6,6,6,7,7,7,8,9,10,10,10,12,12,13,13,13,16,16,16,16,16,16,16
Switzerland,Indiana,US,38.82767338,-85.03022429,"Switzerland, Indiana, US",9,11,11,11,13,12,13,13,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15
Tippecanoe,Indiana,US,40.38872739,-86.89413959,"Tippecanoe, Indiana, US",29,34,36,38,40,42,43,45,45,46,46,51,53,55,56,58,59,59,62,64,71,75,90,95,102,110,115,120,156,181,190
Tipton,Indiana,US,40.31123252,-86.05234925,"Tipton, Indiana, US",6,6,8,9,9,9,9,9,10,10,10,10,10,10,13,13,14,14,14,17,17,17,18,18,18,18,20,20,20,20,20
Union,Indiana,US,39.62550777,-84.92497066,"Union, Indiana, US",3,3,3,5,5,5,5,5,9,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,7,7,7,7,7,7,7
Vanderburgh,Indiana,US,38.02658833,-87.58763124,"Vanderburgh, Indiana, US",37,40,41,41,49,53,53,56,57,60,65,71,76,80,85,87,88,96,104,104,113,117,119,126,131,135,143,147,151,150,153
Vermillion,Indiana,US,39.8523352,-87.46160542,"Vermillion, Indiana, US",2,2,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
